id,title_text,label,oof_proba_t1
245,"??????????? ???????????? ""????????? ? ???????????????? ????????? ? ???????""
?????????? ?????????: ????????
# ???????
## ?????????????? ???????",0,0.08353821188211441
1987,"??????????? ???????????? ""??? ??????????""
?????????? ?????????: ????????
# ???????
## ???? ???????",0,0.11142317205667496
509,"??????????? ???????????? ""??????? ??? (????????, ????????? Salmonella Typhi) ? ????????""
?????????? ?????????: ????????
# ???????
## ??????? ??????? ??????? ??? ?????? ? ??????????? ???????????? S. Typhi",1,0.8436135649681091
1921,"??????????? ???????????? ""?????????? ????????""
?????????? ?????????: ????
# ???????
## ??????????????? ????????????? ???????~~ ~~",0,0.28938543796539307
1112,"??????????? ???????????? ""????????????? ????? (??????????? ?????)""
?????????? ?????????: ???????? ? ????
# ???????
## ????????????? ?????? ???????",0,0.29790687561035156
738,"??????????? ???????????? ""???????????? ?????""
?????????? ?????????: ???????? ? ????
# ???????
## ????????????? ???????",0,0.12434723228216171
1288,"??????????? ???????????? ""?????????? ?????????? ??? ?????? ???????????""
?????????? ?????????: ????????
# ???????
## ??????????????
### ?????????? ???????????? ????????????? ??????? ? ?????????? ?????? ? ??? ????????",1,0.6154637932777405
1110,"??????????? ???????????? ""????????? ??????????????? ??????????????? ????????? ????? ? ???????? ????????""
?????????? ?????????: ????????
# ???????
## ????????????????? ???????",0,0.26482030749320984
1798,"??????????? ???????????? ""???????????? ??????????? ? ????????""
?????????? ?????????: ????????
# ???????
## ?????????? ??????? ???????????? ???????????",0,0.6316317915916443
824,"??????????? ???????????? ""??????????????? ???????? ????????? ???????. ??????????????? ???????? ????????? ???????""
?????????? ?????????: ????
# ???????
## ??????????????? ???????. ???????????????? ???????",0,0.8624510765075684
708,"??????????? ???????????? ""????????? ?????? (????????????)""
?????????? ?????????: ???????? ? ????
# ???????
## ???????????? ? ???????????????
### ????? ???????? ???????????? ? ????????? ? ??",0,0.8728433847427368
1525,"??????????? ???????????? ""????????????????? ??? VI""
?????????? ?????????: 
# ???????
## ????????????? ???????",0,0.12100782990455627
2124,"??????????? ???????????? ""??????? ???? ?????. ??????? ???? ?????""
?????????? ?????????: ????
# ???????
## ???? ???????",0,0.07538944482803345
61,"??????????? ???????????? ""??????????? ? ????????????? ????????????, ????????? ????????????? ????????????? ???????. ???????? (? ???????? ?????????????) ????????????""
?????????? ?????????: ????????
# ???????
## ????????????????? ???????
### ???????????????????? ????????????",0,0.7003293037414551
1717,"??????????? ???????????? ""?????-??????????????. ?????????????? ??????? ?????""
?????????? ?????????: ???????? ? ????
# ???????
## ??????????????? ?????? ???????",0,0.7002147436141968
479,"??????????? ???????????? ""???? ??????? ??????? ? ?????? ?????""
?????????? ?????????: ????????
# ???????
## ??????? ???????????????? ? ???????????????? ??????, ????????????? ????? 30% ????????? ?????????",1,0.8049706220626831
1136,"??????????? ???????????? ""????????????? ?????""
?????????? ?????????: ???????? ? ????
# ???????
## ??????????????? ???????",0,0.13329467177391052
1825,"??????????? ???????????? ""?????? ? ??????????? ?????????? (???????? ???????????? ?  ?????????-?????????????? ?????????)""
?????????? ?????????: ????????
# ???????
## ????????? ?????????",1,0.9086269736289978
667,"??????????? ???????????? ""?????? ??????? ? (???) ? ?????""
?????????? ?????????: ????
# ???????
## ?????????????? ???????",0,0.11166078597307205
653,"??????????? ???????????? ""???????? ?????""
?????????? ?????????: ????????
# ???????
## ????????????? ???????
### ??????????? ?????????????? ????????????? ??? ???????????? ?????????????? ??????????",1,0.8405644297599792
923,"??????????? ???????????? ""???????, ?? ????????????? ????????? ? ??????? ?????????????? ??????????, ? ??? ???????? ? ??????????? ????????""
?????????? ?????????: ????????
# ???????",0,0.42147257924079895
