ngram_max,min_df,C,m1_at_050,m1_tuned,threshold,posrate
4,3,3.0,0.649374339965443,0.740480865505218,0.8,0.15959252971137522
4,2,3.0,0.6599889493022365,0.7360455833947698,0.8,0.15959252971137522
4,3,10.0,0.6659201123620363,0.7297638736896096,0.72,0.200339558573854
4,1,3.0,0.6667105502348357,0.7280780719803623,0.77,0.16355404640633842
3,3,3.0,0.6533590247233739,0.728025773388094,0.78,0.17091114883984154
4,2,10.0,0.6780159544064528,0.7269806370941125,0.73,0.1935483870967742
4,1,10.0,0.6883911789938334,0.7238266613266613,0.81,0.14997170345217883
3,2,3.0,0.6588424440607049,0.7221940759846065,0.81,0.15449915110356535
3,1,3.0,0.6661942314104798,0.7187111054396222,0.74,0.1839275608375778
3,1,10.0,0.6696303870097324,0.7172409944366508,0.77,0.17147707979626486
4,3,1.0,0.6405588969697986,0.7139894425510664,0.76,0.1765704584040747
2,2,3.0,0.6491521271808385,0.713869172842527,0.81,0.15959252971137522
2,1,3.0,0.6488192859292753,0.7117786349824826,0.79,0.16751556310130164
3,2,10.0,0.67162595471807,0.7115090296908478,0.8,0.16864742501414828
3,3,10.0,0.6559612706148964,0.7111438928995341,0.78,0.18053197509903793
4,2,1.0,0.6395533327082238,0.7109591144232688,0.68,0.22014714204867006
3,3,1.0,0.628586040953854,0.7109417030284421,0.75,0.18166383701188454
3,1,1.0,0.6316681628301417,0.7101577808648517,0.71,0.20260328239954725
4,1,1.0,0.6388361796331435,0.7100209169303747,0.73,0.1873231465761177
2,3,3.0,0.6516002069037268,0.709854300200551,0.75,0.18845500848896435
2,2,1.0,0.6352720224274626,0.709756889529857,0.78,0.16694963214487832
3,2,1.0,0.6361089259031962,0.7089718422965562,0.73,0.19524617996604415
2,3,1.0,0.6366093712813516,0.7079945115803365,0.78,0.16525183927560838
2,1,1.0,0.6291709077527757,0.7034011392898994,0.78,0.166383701188455
2,1,10.0,0.6516895826248013,0.7016000973836577,0.81,0.16468590831918506
2,2,10.0,0.6537202670367526,0.7011462682194389,0.85,0.1488398415393322
2,3,10.0,0.6602024325633943,0.6921699843154647,0.83,0.15732880588568196
2,2,0.3,0.6117176327294457,0.6814535816419055,0.72,0.1941143180531975
2,3,0.3,0.6130257987961215,0.6793534431164584,0.71,0.200339558573854
3,3,0.3,0.6043391773096637,0.6773007893690068,0.77,0.16751556310130164
3,1,0.3,0.602599373646297,0.6772837596262595,0.64,0.2354272778720996
2,1,0.3,0.6099836113730802,0.6756279917049696,0.73,0.19015280135823429
3,2,0.3,0.6043391773096637,0.6745653368560522,0.66,0.2246745897000566
4,3,0.3,0.60563879334068,0.6737513230544266,0.64,0.2354272778720996
4,2,0.3,0.6000086426294428,0.6705796452319316,0.76,0.17034521788341822
4,1,0.3,0.5978148616809145,0.6647074882369,0.64,0.23372948500282967
1,3,1.0,0.5548412720612056,0.6592689549562419,0.82,0.15110356536502548
1,2,1.0,0.5560476681985508,0.6546878003547032,0.82,0.15110356536502548
1,1,1.0,0.5572566003139788,0.6517135740755207,0.8,0.16072439162422184
1,1,0.3,0.5672164441803766,0.6436513741266231,0.82,0.144878324844369
1,3,0.3,0.568457120901489,0.641264241380668,0.82,0.14544425580079232
1,2,0.3,0.5672164441803766,0.641264241380668,0.82,0.14544425580079232
1,1,3.0,0.5501250211465648,0.63884797439233,0.79,0.17770232031692135
1,3,3.0,0.5429532802658131,0.638513213053847,0.81,0.16751556310130164
1,2,3.0,0.5453339692083305,0.6363443712680075,0.81,0.16694963214487832
1,3,10.0,0.5406706162871819,0.6324231292877249,0.8,0.17487266553480477
1,1,10.0,0.5395995730817638,0.63207214914351,0.81,0.16808149405772496
1,2,10.0,0.5437131663767175,0.6260749914000686,0.8,0.17430673457838144
