feature,train_mean,test_mean,std_mean_diff
n_colons,0.010186757215619695,0.0,0.1434684299576431
n_parens,0.04697226938313526,0.029411764705882353,0.08594298936865843
max_word_len,13.106395019807584,12.886877828054299,0.06165279554884966
has_latin_body,0.03169213355970572,0.024886877828054297,0.04105393601112479
n_commas,0.035653650254668934,0.04524886877828054,0.03819212544529835
long_word_ratio,0.41506591317930686,0.40569581784787084,0.03415430018212531
mean_word_len,9.175857906852976,9.094568398488274,0.03187230437252763
has_digit_body,0.022637238256932653,0.027149321266968326,0.028963796180291476
n_long_words,1.325410299943407,1.2941176470588236,0.026829697941347163
min_word_len,5.526315789473684,5.615384615384615,0.025904046402758618
n_guideline_parens,0.11262026032823995,0.11764705882352941,0.01501686611501918
n_words_guideline,6.353706847764573,6.300904977375565,0.014375475877429112
n_dashes,0.041312959818902095,0.038461538461538464,0.01415870107753604
len_body,33.885116015846066,33.5972850678733,0.011796531027063555
len_subsection,37.06281833616299,36.7737556561086,0.01177772502152061
len_guideline,66.57328805885682,66.22398190045249,0.009747056419626728
n_short_words,0.5398981324278438,0.5429864253393665,0.002989830790757601
depth,2.1777023203169215,2.176470588235294,0.0029869164037059537
n_lines,4.1777023203169215,4.176470588235294,0.002986916403704877
n_words_body,3.711375212224109,3.7058823529411766,0.0018747586164192852
n_digits_body,0.04923599320882852,0.049773755656108594,0.0014097591766770302
n_guideline_commas,0.15393322014714206,0.15384615384615385,0.00012973031234272012
n_quotes,0.0,0.0,0.0
