id,title_text,label,oof_proba_c2
526,"Клинические рекомендации ""Мочекаменная болезнь""
Возрастная категория: Взрослые
# Лечение
## Лечение мочекаменной болезни в особых группах пациентов",1,0.7891383568162819
314,"Клинические рекомендации ""Болезнь Крона""
Возрастная категория: Взрослые
# Лечение
## Консервативное лечение
### Тяжелое течение активной БК любой локализации",1,0.7872205490496874
672,"Клинические рекомендации ""Болезнь Крона""
Возрастная категория: Взрослые
# Лечение
## Хирургическое лечение БК
### Хирургическое лечение БК в форме терминального илеита или илеоколита",1,0.5356191771938354
707,"Клинические рекомендации ""Артериальная гипертензия у взрослых""
Возрастная категория: Взрослые
# Лечение
## Лечение артериальной гипертензии в отдельных клинических ситуациях",1,0.6131682025554469
665,"Клинические рекомендации ""Хроническая сердечная недостаточность""
Возрастная категория: Взрослые
# Лечение
## Консервативное лечение
### Терапия, рекомендованная пациентам с симптомной сердечной недостаточностью со сниженной фракцией выброса левого желудочка",1,0.7378124694138929
346,"Клинические рекомендации ""Эндометриоз""
Возрастная категория: Взрослые и дети
# Лечение
## Эндометриоз в постменопаузе",0,0.04879104686015641
213,"Клинические рекомендации ""Хроническая сердечная недостаточность""
Возрастная категория: Взрослые
# Лечение
## Консервативное лечение
### Терапия, рекомендованная пациентам с симптомной сердечной недостаточностью со сниженной фракцией выброса левого желудочка",1,0.9360788885243332
509,"Клинические рекомендации ""Болезнь Крона""
Возрастная категория: Взрослые
# Лечение
## Хирургическое лечение БК
### Лечение БК с перианальными проявлениями (перианальная БК)",0,0.44753901903282656
559,"Клинические рекомендации ""Хроническая сердечная недостаточность""
Возрастная категория: Взрослые
# Лечение
## Консервативное лечение
### Лечение пациентов с хронической сердечной недостаточностью и сочетанной патологией",1,0.8960032094055198
321,"Клинические рекомендации ""Эндометриоз""
Возрастная категория: Взрослые и дети
# Лечение
## Эндометриоз у подростков (до 18 лет)",0,0.055278717751781586
49,"Клинические рекомендации ""Хроническая сердечная недостаточность""
Возрастная категория: Взрослые
# Лечение
## Консервативное лечение
### Лечение пациентов с хронической сердечной недостаточностью и сочетанной патологией",1,0.9732374976623916
112,"Клинические рекомендации ""Гастрит и дуоденит""
Возрастная категория: Взрослые
# Лечение
## Эндоскопическое лечение",1,0.24773848550364103
338,"Клинические рекомендации ""Болезнь Крона""
Возрастная категория: Взрослые
# Лечение
## Консервативное лечение
### Легкая БК илеоцекальной локализации",1,0.6941749023123451
447,"Клинические рекомендации ""Эндометриоз""
Возрастная категория: Взрослые и дети
# Лечение
## Эндометриоз и рак",0,0.05882242893252588
554,"Клинические рекомендации ""Эндометриоз""
Возрастная категория: Взрослые и дети
# Лечение
## Эндометриоз у подростков (до 18 лет)",0,0.04677218878014593
643,"Клинические рекомендации ""Болезнь Крона""
Возрастная категория: Взрослые
# Лечение
## Консервативное лечение
### Легкая БК илеоцекальной локализации",1,0.6879166751052495
703,"Клинические рекомендации ""Эндометриоз""
Возрастная категория: Взрослые и дети
# Лечение
## Эндометриоз и рак",0,0.0737732144859202
578,"Клинические рекомендации ""Эндометриоз""
Возрастная категория: Взрослые и дети
# Лечение
## Эндометриоз у подростков (до 18 лет)",0,0.044566127844012836
527,"Клинические рекомендации ""Эндометриоз""
Возрастная категория: Взрослые и дети
# Лечение
## Эндометриоз в постменопаузе",0,0.044482096910378736
790,"Клинические рекомендации ""Хроническая сердечная недостаточность""
Возрастная категория: Взрослые
# Лечение
## Консервативное лечение
### Рекомендации по контролю ритма у пациентов с фибрилляцией предсердий, симптомной ХСН, систолической дисфункцией левого желудочка при отсутствии острой декомпенсации",0,0.11198243923825778
192,"Клинические рекомендации ""Хроническая сердечная недостаточность""
Возрастная категория: Взрослые
# Лечение
## Консервативное лечение
### Лечение пациентов с ХСН в особых группах",1,0.9462010609210456
583,"Клинические рекомендации ""Хроническая сердечная недостаточность""
Возрастная категория: Взрослые
# Лечение
## Консервативное лечение
### Лечение пациентов с хронической сердечной недостаточностью и сочетанной патологией",1,0.9149829421260335
580,"Клинические рекомендации ""Головная боль напряжения (ГБН)""
Возрастная категория: Взрослые
# Лечение
## Особенности лечения ГБН, сочетающейся с лекарственно-индуцированной головной болью (ЛИГБ)",1,0.22335715927474736
